名前,種別,得意練習,役割,金特_野手時,金特_投手時,金特依存,上限UP,覚醒,イベント
夢城優花,投手,メンタル,レンジャー,読心術(不確定),鉄仮面(不確定),鉄仮面 : コントロール(Sで担当の体感8割前後),コントロール+2,［SR］得意練習率UP20％¶［PSR］技術ボーナス10,後イベ
[ワイルド]神成尊,野手,メンタル,レンジャー,重戦車(確定),クロスキャノン(確定),-,なし,なし,後イベ
[ジェントル]東雲翔也,野手,肩力&守備,ガード,帰巣本能(確定),ジャストフィット(確定),-,なし,なし,前イベ
星空星光,野手,守備,ガード,大番狂わせ(確定)¶勝負師(確定)捕手時¶司令塔(確定)¶球界の頭脳(確定),なし,-,なし,なし,前イベ
[真剣]柳生鞘花,野手+投手,打撃&球速,バウンサー,洗礼の一撃(確定),金縛り(確定),-,なし,なし,後イベ
榎下舞那美,彼女,,ガード,外角必打(確定)¶一番槍(確定),必殺火消し人(確定)¶勝利の星(確定),-,なし,なし,後イベ
覆水武明,投手,球速,ガード,エースキラー(確定),ブレッドシュート(不確定)¶驚異の切れ味(確定),不明,なし,なし,前イベ
凡田大介,投手,メンタル,レンジャー,高速ベースラン(確定),変幻自在(確定),-,なし,なし,前イベ
凡田夏之介,投手,コントロール,レンジャー,勝負師(確定),原点投球(不確定),不明,なし,なし,後イベ
[私服]賀真口摩音,彼女,,ガード,看破(確定),ミスターゼロ(確定),-,なし,なし,前イベ
[袴]津乃田梨亜,彼女,,ガード,一番槍(確定),速球プライド(確定),-,ミート+2¶コントロール+2,なし,前イベ
不屈闘志,投手,メンタル&球速,ガード,代打の神様(確定)¶エースキラー(不確定),男球(不確定)¶必殺火消し人(確定),不明,なし,なし,後イベ
ハギワラ・リョウ,投手,コントロール,バウンサー,伝説のサヨナラ男(確定),完全燃焼(確定)＋鉄腕(不確定),不明,なし,なし,前イベ
新屋敷章,野手,守備,ガード,読心術(不確定),意気揚々(不確定),不明,なし,なし,後イベ
月田明子,彼女,,ガード,祝福(確定),マインドブレイカー(不確定),不明,なし,なし,前イベ
[うなる剛速球]茂野吾郎,投手,球速,ガード,高速レーザー(確定),ジャイロフォーク(不確定)＋速球プライド(不確定)¶ハイスピンジャイロ(不確定),不明,なし,［SR］初期評価20¶［PSR］技術ボーナス10,前イベ
[轟く豪打]佐藤寿也,野手,打撃,バウンサー,精神的支柱(確定)＋帰巣本能(不確定)¶威圧感(野手)(不確定)＋不動の四番(不確定)捕手時¶ミラクルボイス(確定)＋帰巣本能(不確定),威圧感(投手)(不確定)＋不動の四番(不確定),不明,捕球+4(PSR覚醒時),［SR］タッグボーナス20％¶［PSR］捕球上限UP4,後イベ
川瀬涼子,投手,コントロール,バウンサー,ヒートアップ(確定),勇猛果敢(確定),-,なし,なし,前イベ
薬師寺,野手,打撃,レンジャー,外角必打(不確定),内無双(不確定),不明,なし,なし,前イベ
[ポコタ]灰塚朔夜,野手+投手,走塁&スタミナ,バウンサー,逆襲(確定),形勢逆転(確定),-,なし,なし,前イベ
[バニー]虹谷彩理,彼女,,ガード,帰巣本能(確定),金縛り(確定),-,なし,なし,前イベ
[エプロン]志藤玲美,野手,打撃&走塁,レンジャー,スイープ(確定),みなぎる活力(確定),-,ミート+2,なし,前イベ
[猫かぶり]大空美代子,野手,筋力,ガード,ヒートアップ(確定),暴れ球(確定),-,なし,なし,前イベ
パワにゃん,投手+野手,球速&走塁,レンジャー,威圧感(野手)(不確定),にゃっくるカーブ(不確定)¶ディレイドアーム(確定),不明,なし,なし,後イベ
[にゃんこ]氷上聡里,彼女,,ガード,洗礼の一撃(確定),内無双(確定),-,なし,なし,前イベ
冴木創,野手,メンタル&打撃,ガード,明鏡止水(確定)¶恐怖の満塁男(確定),強心臓(確定)¶怪物球威(確定),-,守備力+2,なし,後イベ
[サンタ]川星ほむら,野手,走塁,レンジャー,代打の神様(確定),先手必奪(確定),-,なし,なし,前イベ
[メガネ]東條小次郎,野手,筋力,ガード,高球必打(確定)＋ローリング打法(確定),超尻上がり(確定),-,なし,なし,後イベ
久根美亜,彼女,,ガード,一発逆転王(確定),変化球プライド(確定),-,なし,なし,後イベ
[挑戦者]大谷翔平,投手+野手,球速&筋力,バウンサー,精神的支柱(確定)¶広角砲(確定),不屈の魂(確定)¶ドクターK(確定),-,肩力+4(PSR覚醒時のみ),［SR］コツイベ率UP40％¶［PSR］肩力上限UP4,前イベ
岸田卓,野手,打撃,レンジャー,重戦車(確定)¶至高の一塁手(不確定),ド根性(確定),至高の一塁手 : 守備力(Sで担当の体感7割前後),ミート+2,なし,前イベ
望戸紅,野手,メンタル,レンジャー,魔術師(確定)¶ハゲタカ(不確定),精密機械(確定)¶マインドブレイカー(不確定),不明,なし,［SR］得意練習率UP20¶［PSR］精神ボーナス10,前イベ
ランスロット,投手,守備,レンジャー,情熱エール(確定),走者釘付(確定),-,なし,なし,後イベ
阿麻央真,投手,スタミナ&変化球,ガード,大番狂わせ(確定)¶エースキラー(不確定),エクスカリバー(不確定)＋変化球プライド(不確定)¶変幻自在(確定),不明,なし,［SR］変化球ボーナス10¶［PSR］得意練習率UP20％,前イベ
村雨,野手,肩力,スナイパー,アイコンタクト(確定),ジャストフィット(確定),-,なし,なし,後イベ
箱崎拳,野手,打撃,バウンサー,メッタ打ち(確定)¶ローリング打法(確定),変幻自在(確定)¶怪物球威(確定),-,なし,なし,前イベ
[ユニフォーム]相良識,彼女,,ガード,逆襲(確定),鉄腕(確定),-,捕球+2,なし,前イベ
大塔俊二,投手,変化球,レンジャー,超ラッキーボーイ(確定),みなぎる活力(確定),-,なし,なし,後イベ
御厨真歩,彼女,,ガード,トリックスター(確定)＋左キラー(野手)(確定),勇猛果敢(確定)＋変化球プライド(確定),-,なし,なし,前イベ
[キャストオフ]内藤明瑠,野手,肩力,ガード,洗礼の一撃(不確定),マインドブレイカー(不確定),不明,なし,なし,前イベ
[浴衣]小嵐リョウ,選手兼彼女+野手,守備,ガード,芸術的流し打ち(確定),形勢逆転(確定),-,なし,［SR］初期評価20¶［PSR］練習効果UP30％,前イベ
[浴衣]美園千花,選手兼彼女+野手,筋力,ガード,精神的支柱(確定)捕手時¶司令塔(確定),なし,-,守備力+4(PSR覚醒時),［SR］練習効果UP20％¶［PSR］守備力上限UP4,後イベ
[ユニフォーム]鴨川しぐれ,彼女,,ガード,低球必打(確定)捕手時¶ささやき戦術(確定),みなぎる活力(確定),-,走力+4(PSR覚醒時のみ),［SR］初期評価20¶［PSR］走力上限UP4,後イベ
荒方紀礼,野手,打撃&筋力,バウンサー,スイープ(不確定),ミスターゼロ(確定),不明,なし,なし,前イベ
前園健太,野手,筋力,ガード,一発逆転王(確定),形勢逆転(確定),-,なし,なし,後イベ
金丸信二,野手,打撃&メンタル,バウンサー,昇り龍(確定),不屈の魂(確定),-,なし,なし,前イベ
白州健二郎,野手,打撃,バウンサー,エースキラー(不確定),ド根性(確定),不明,なし,なし,後イベ
東条秀明,野手,守備,スナイパー,大番狂わせ(確定),驚異の切れ味(確定),-,守備力+2,なし,前イベ
天久光聖,投手,変化球,レンジャー,つるべ打ち(不確定),変化球プライド(不確定),不明,なし,なし,前イベ
津乃田梨亜,彼女,,ガード,挑発(確定)¶伝説の引っ張り屋(確定),超尻上がり(確定)¶本塁打厳禁(確定),-,ミート+2¶コントロール+2,なし,前イベ
大豪月,投手,球速,レンジャー,メッタ打ち(確定)¶威圧感(野手)(不確定),暴れ球(確定)¶威圧感(投手)(不確定),不明,なし,なし,後イベ
音吹奏,彼女,,ガード,情熱エール(確定)捕手時¶ミラクルボイス(確定),ジャストフィット(確定),-,なし,［SR］初期評価20¶［PSR］イベントボーナス30％,後イベ
志藤玲美,野手,打撃&走塁,レンジャー,安打製造機(確定),変幻自在(確定),-,なし,なし,前イベ
大越清亮,野手,筋力,バウンサー,気迫ヘッド(確定),なし,-,なし,なし,後イベ
伊能麗示,投手,変化球,スナイパー,読心術(不確定),金縛り(確定),不明,なし,なし,前イベ
[浴衣]八尺巫女子,選手兼彼女+野手,走塁,レンジャー,切磋琢磨(確定),なし,-,走力+4(PSR覚醒時),［SR］やる気効果UP50％¶［PSR］走力上限UP4,前イベ
大谷翔平,投手+野手,球速&筋力,バウンサー,切磋琢磨(確定),オリジナルストレート(不確定)¶速球プライド(確定),不明,肩力+4(PSR覚醒時のみ),［SR］コツイベ率UP40％¶［PSR］肩力上限UP4,前イベ
五十嵐権三,野手,肩力,スナイパー,メッタ打ち(確定),不屈の魂(確定),-,なし,なし,後イベ
[あかつき]猪狩進,野手,守備&打撃,ガード,内角必打(確定)捕手時¶ミラクルボイス(不確定),なし,不明,ミート+4(PSR覚醒時のみ),［SR］得意練習率UP20％¶［PSR］ミート上限UP4,前イベ
[ユニフォーム]木村美香,彼女,,ガード,アイコンタクト(確定),勝利の星(確定),-,なし,［SR］初期評価20¶［PSR］イベントボーナス20％,前イベ
[ユニフォーム]木場静火,彼女,,ガード,情熱エール(確定),意気揚々(確定),-,なし,［SR］初期評価20¶［PSR］イベントボーナス20％,後イベ
銀崎ゆうる,彼女,,ガード,伝説の引っ張り屋(確定),先手必奪(確定),-,なし,なし,後イベ
花散院ユウ,野手,走塁&メンタル,バウンサー,トリックスター(不確定),走者釘付(確定),不明,なし,なし,前イベ
水無月要,野手,筋力,ガード,内角必打(確定)¶精神的支柱(不確定),不屈の魂(確定)¶内無双(不確定),不明,なし,なし,前イベ
ブラックドロイド,投手,スタミナ,レンジャー,なし,ヴォイドスライダー(不確定)¶クロスキャノン(確定),不明,なし,なし,後イベ
桜沢樹,投手,球速,バウンサー,一球入魂(確定)¶昇り龍(不確定),怪物球威(確定)¶超尻上がり(不確定),不明,なし,なし,後イベ
マルチドロイド,野手,筋力&守備,ガード,広角砲(不確定)捕手時¶バズーカ(確定),なし,不明,なし,なし,前イベ
NCM-753,彼女,,ガード,つるべ打ち(確定),みなぎる活力(確定),-,なし,なし,前イベ
魁竜司,野手,走塁&守備,バウンサー,一番槍(確定),必殺火消し人(確定),-,なし,［SR］タッグボーナス20％¶［PSR］精神ボーナス12,前イベ
千賀篤志,野手,筋力,ガード,火事場の馬鹿力(確定),強心臓(確定),-,なし,なし,後イベ
江暦輝,投手,変化球,レンジャー,電光石火(確定),サンダーボルト(不確定),不明,なし,なし,後イベ
[帰ってきた]古長衛士,野手,筋力,ガード,伝説の引っ張り屋(不確定),なし,不明,なし,なし,後イベ
[激闘]友沢亮,野手+投手,肩力&変化球,スナイパー,切磋琢磨(不確定),ド根性(不確定),不明,ミート+4(PSR覚醒時のみ),［SR］試合経験点ボーナス20％¶［PSR］ミート上限UP4,後イベ
[ユニフォーム]エミリ,彼女,,ガード,内角必打(確定),暴れ球(確定),-,なし,なし,後イベ
クィーンバタフライ,野手,走塁&肩力,レンジャー,高速レーザー(確定)＋大番狂わせ(不確定)¶ローリング打法(確定)¶威圧感(野手)(不確定)＋明鏡止水(不確定),威圧感(投手)(不確定),不明,ミート+4(PSR覚醒時),［SR］得意練習率UP20％¶［PSR］ミート上限UP4,後イベ
ガブリエル,彼女,,ガード,祝福(確定)＋帰巣本能(確定)¶伝説のサヨナラ男(確定),復活(確定)＋原点投球(確定)¶伝説のサヨナラ男(確定),-,なし,［SR］初期評価20¶［PSR］イベントボーナス40％,後イベ
ルシファー,投手+野手,変化球&筋力,スナイパー,つるべ打ち(確定)＋看破(不確定),エナサーストレート(不確定)¶先手必奪(確定)＋ディレイドアーム(不確定),不明,なし,［SR］コツイベ率UP40％¶［PSR］タッグボーナス50％,前イベ
[サンバ]新島早紀,選手兼彼女+野手,打撃,バウンサー,エースキラー(確定),なし,-,なし,［SR］タッグボーナス30％¶［PSR］やる気効果UP50％,前イベ
掘杉等,野手,筋力,ガード,広角砲(確定)＋ローリング打法(不確定)¶火事場の馬鹿力(確定),不屈の魂(確定)＋みなぎる活力(不確定),不明,なし,なし,前イベ
鳴海悠斗,投手+野手,変化球&打撃,レンジャー,昇り龍(不確定),ミスターゼロ(確定),不明,なし,なし,後イベ
緒川未羽,彼女,,ガード,一番槍(確定),ジャストフィット(確定),-,なし,なし,前イベ
ナヌーク,野手,肩力,レンジャー,魔術師(確定),なし,-,なし,なし,後イベ
ギャネンドラ,野手,走塁&打撃,レンジャー,ヒートアップ(確定),なし,-,なし,なし,前イベ
[野球マン1号]早川あおい,投手,変化球,レンジャー,なし,変幻自在(確定),-,なし,なし,後イベ
[バレンタイン]小鷹美麗,野手,守備,ガード,ストライク送球(確定)¶切磋琢磨(確定)捕手時¶バズーカ(確定),鉄腕(確定),-,なし,なし,前イベ
倉家凪,彼女,,ガード,ヒートアップ(確定),形勢逆転(確定),-,なし,［SR］初期評価20¶［PSR］イベントボーナス30％,後イベ
赤原勘八,野手,打撃,バウンサー,恐怖の満塁男(確定)＋挑発(不確定),マインドブレイカー(不確定),挑発 : 不明,ミート+4(PSR覚醒時のみ),［SR］タッグボーナス20％¶［PSR］ミート上限UP4,前イベ
須々木清吾,野手,守備&メンタル,ガード,つるべ打ち(確定),強心臓(確定),-,なし,なし,後イベ
真黒綱寛,投手,スタミナ&球速,レンジャー,伝説のサヨナラ男(確定)¶精神的支柱(不確定),必殺火消し人(不確定)¶復活(確定),不明,なし,なし,前イベ
鏡空也,野手,筋力&走塁,ガード,広角砲(不確定)¶高球必打(確定),なし,不明,なし,なし,後イベ
泊方明日音,選手兼彼女+投手,スタミナ,ガード,高球必打(確定)¶低球必打(確定),意気揚々(確定)¶怪物球威(確定),-,なし,なし,後イベ
大洲真実,彼女,,ガード,超ラッキーボーイ(確定),ミスターゼロ(確定),-,なし,なし,前イベ
[振袖]小山雅,野手,守備,ガード,情熱エール(確定),ド根性(確定),-,なし,なし,後イベ
風薙豹,野手+投手,打撃&コントロール,バウンサー,勝負師(確定)¶火事場の馬鹿力(確定),復活(確定)¶強心臓(確定),-,コントロール+4(PSR覚醒時のみ),［SR］試合経験点ボーナス10％¶［PSR］コントロール上限UP4,前イベ
[サンタ]太刀川広巳,投手,変化球,レンジャー,なし,精密機械(確定)¶怪物球威(確定)＋鉄腕(不確定),鉄腕 : 不明,なし,なし,後イベ
江戸川文楽,野手,筋力,ガード,一番槍(不確定),怪童(確定),不明,なし,なし,前イベ
吉岡里帆,彼女,,ガード,アーチスト(確定),鉄人(確定),-,なし,なし,後イベ
虹谷彩理,彼女,,ガード,読心術(確定),精密機械(確定),-,なし,なし,前イベ
東雲翔也,野手,肩力&守備,ガード,アイコンタクト(確定),本塁打厳禁(確定),-,なし,なし,前イベ
神成尊,野手,メンタル,レンジャー,メッタ打ち(確定)捕手時¶司令塔(確定),なし,-,なし,なし,後イベ
虹谷誠,投手,変化球&球速,レンジャー,一球入魂(確定),ドクターK(確定)¶驚異の切れ味(確定)¶先手必奪(確定),-,コントロール+4(SR覚醒時のみ),［SR］コントロール上限UP4¶［PSR］タッグボーナス40％,後イベ
美多村知秋,投手,コントロール,バウンサー,内角必打(確定)¶一球入魂(確定),先手必奪(確定)＋鉄腕(確定)¶内無双(確定)＋鉄腕(確定),-,なし,なし,後イベ
紀乃光一,投手,変化球,レンジャー,なし,ハイスピンジャイロ(不確定)¶ミスターゼロ(不確定),不明,なし,なし,後イベ
閃道極,野手,打撃,バウンサー,ローリング打法(不確定),怪童(確定),不明,なし,なし,前イベ
[デスノート]京野小筆,彼女,,ガード,代打の神様(確定),左キラー(投手)(確定),-,なし,なし,前イベ
[野球マン2号]橘みずき,投手,コントロール,スナイパー,なし,クロスキャノン(確定),-,コントロール+4(PSR覚醒時のみ),［SR］精神ボーナス10¶［PSR］コントロール上限UP4,前イベ
灰塚朔夜,野手,走塁,バウンサー,ヒートアップ(不確定),ドクターK(不確定),不明,なし,なし,前イベ
史門泰司,投手,スタミナ,レンジャー,アーチスト(確定)¶伝説のサヨナラ男(確定),シルバーバレット(不確定)¶本塁打厳禁(不確定),不明,なし,なし,後イベ
内藤明瑠,野手,肩力,ガード,火事場の馬鹿力(確定),復活(確定),-,なし,なし,前イベ
神良美砂,彼女,,レンジャー,昇り龍(不確定),怪物球威(確定),不明,なし,なし,後イベ
[野球マン3号]六道聖,野手,守備,レンジャー,切磋琢磨(確定)¶明鏡止水(確定)捕手時¶司令塔(確定)¶球界の頭脳(確定),強心臓(確定),-,守備力+6(PSR覚醒時のみ),［SR］練習効果UP20％¶［PSR］守備力上限UP6,後イベ
魔近ルウ,彼女,,ガード,魔術師(確定),クロスキャノン(確定),-,なし,なし,前イベ
柳生鞘花,野手,打撃,バウンサー,低球必打(不確定),なし,不明,なし,なし,後イベ
紺野美崎,彼女,,ガード,電光石火(確定)捕手時¶司令塔(確定),不屈の魂(確定),-,捕球+4(PSR覚醒時のみ),［SR］イベントボーナス20％¶［PSR］捕球上限UP4,後イベ
[水着]早川あおい,投手,変化球,レンジャー,なし,マリンボール(不確定),不明,なし,なし,後イベ
[水着]六道聖,野手,守備,ガード,低球必打(確定)¶明鏡止水(確定)捕手時¶ささやき戦術(確定)¶球界の頭脳(確定),強心臓(確定),-,守備力+6(PSR覚醒時のみ),［SR］練習効果UP20％¶［PSR］守備力上限UP6,後イベ
八嶋中,野手,走塁,ガード,電光石火(確定),なし,-,なし,なし,後イベ
[水着]橘みずき,投手,コントロール,スナイパー,なし,クレッセントムーン(不確定)¶ミスターゼロ(確定),不明,コントロール+4(PSR覚醒時のみ),［SR］精神ボーナス10¶［PSR］コントロール上限UP4,前イベ
小山雅,野手,守備,ガード,アイコンタクト(不確定),なし,不明,なし,なし,後イベ
七井=アレフト,野手,筋力,ガード,高球必打(確定)¶アーチスト(確定),なし,-,ミート+4(PSR覚醒時),［SR］練習効果UP30％¶［PSR］ミート上限UP4,前イベ
[あかつき]猪狩守,投手,球速,レンジャー,なし,マインドブレイカー(不確定),不明,なし,［SR］技術ボーナス10¶［PSR］やる気効果UP100％,後イベ
四条澄香,彼女,,ガード,メッタ打ち(確定),内無双(確定),-,なし,なし,前イベ
六本木優希,野手,守備,ガード,アイコンタクト(不確定)＋魔術師(不確定),なし,不明,なし,なし,前イベ
四条賢二,野手,メンタル,ガード,精神的支柱(不確定)¶情熱エール(確定),鉄腕(確定)¶本塁打厳禁(確定),不明,なし,なし,前イベ
三本松一,野手,筋力,ガード,ローリング打法(不確定),怪童(確定),不明,なし,なし,後イベ
ジョー・ギブソンJr,野手,筋力,ガード,広角砲(不確定)¶挑発(不確定),精密機械(不確定)¶必殺火消し人(不確定),不明,なし,なし,後イベ
神童裕二郎,投手,コントロール,ガード,なし,超尻上がり(確定),-,なし,なし,後イベ
武野浩太,野手,走塁,バウンサー,左キラー(野手)(不確定)¶高速ベースラン(不確定),なし,不明,なし,なし,前イベ
[ユニフォーム]明星雪華,彼女,,ガード,一球入魂(不確定),驚異の切れ味(不確定),不明,なし,［SR］初期評価20¶［PSR］イベントボーナス20％,後イベ
光野聖良,彼女,,スナイパー,恐怖の満塁男(確定),強心臓(確定),-,なし,なし,後イベ
相良識,彼女,,ガード,内野安打王(確定),復活(確定),-,なし,なし,前イベ
バット＝円島,野手,守備,レンジャー,内角必打(不確定),内無双(不確定),不明,なし,なし,後イベ
兼倉洋平,野手,肩力,バウンサー,つるべ打ち(不確定),勝利の星(確定),不明,なし,なし,後イベ
須藤零人,投手,球速,スナイパー,なし,ディレイドアーム(不確定),不明,なし,なし,前イベ
雷轟遙登,野手,筋力,スナイパー,精神的支柱(不確定),なし,不明,なし,なし,前イベ
二宮瑞穂,野手,打撃,バウンサー,アイコンタクト(不確定)捕手時¶司令塔(不確定),なし,不明,なし,なし,後イベ
[ユニフォーム]氷上聡里,彼女,,ガード,左キラー(野手)(確定),変幻自在(確定),-,なし,なし,前イベ
一ノ瀬塔哉,投手,変化球,レンジャー,なし,ミスターゼロ(確定)¶精密機械(確定),-,なし,なし,前イベ
[ユニフォーム]京野小筆,彼女,,ガード,安打製造機(確定)¶アーチスト(確定),精密機械(確定)¶鉄腕(確定),-,なし,なし,前イベ
木崎彰,野手,肩力,レンジャー,勝負師(不確定)捕手時¶球界の頭脳(確定),なし,不明,なし,なし,前イベ
祝井幸吉,野手,肩力,レンジャー,超ラッキーボーイ(不確定),勝利の星(確定),不明,なし,なし,前イベ
宝塚月斗,野手,守備,レンジャー,恐怖の満塁男(不確定),なし,-,なし,なし,前イベ
賀真口摩音,彼女,,ガード,勝負師(確定),ディレイドアーム(確定),-,なし,なし,前イベ
百屋縁,彼女,,ガード,火事場の馬鹿力(確定),ド根性(確定),-,なし,［SR］イベントボーナス25％¶［PSR］コントロール上限UP4,後イベ
熱盛宗厚,投手,コントロール,レンジャー,なし,なし¶ドクターK(確定),不明,なし,なし,前イベ
新島早紀,選手兼彼女+野手,打撃,バウンサー,内角必打(確定),なし,-,なし,［SR］タッグボーナス30％¶［PSR］やる気効果UP50％,前イベ
猫塚かりん,彼女,,ガード,大番狂わせ(確定),本塁打厳禁(確定),-,なし,なし,後イベ
[チア]明星雪華,彼女,,ガード,精神的支柱(不確定),不屈の魂(不確定),不明,なし,［SR］初期評価20¶［PSR］イベントボーナス20％,後イベ
涼風希望,投手,変化球,レンジャー,なし,ロゼルージュ(不確定)¶変化球プライド(確定),不明,なし,［SR］タッグボーナス30％¶［PSR］やる気効果UP75％,前イベ
球三郎,野手,走塁,レンジャー,高球必打(不確定),なし,不明,なし,なし,後イベ
[ユニフォーム]春野千優,彼女,,ガード,鉄人(確定),走者釘付(確定),-,なし,なし,後イベ
朱雀南赤,投手,スタミナ,ガード,一球入魂(確定),驚異の切れ味(確定)¶怪物球威(確定)¶アームブレイカー(確定),-,なし,なし,前イベ
比良女木美々,彼女,,ガード,高速レーザー(確定)捕手時¶バズーカ(確定),ハイスピンジャイロ(確定),-,なし,なし,前イベ
尾根瑛人,投手,球速,レンジャー,伝説のサヨナラ男(確定),勝利の星(確定),-,なし,なし,後イベ
納見新造,野手,メンタル,ガード,気迫ヘッド(確定),ド根性(確定),-,なし,なし,後イベ
一条一輝,野手,筋力,ガード,威圧感(野手)(不確定),威圧感(投手)(不確定),不明,なし,なし,前イベ
暗黒スバル,投手,変化球,レンジャー,なし,暗黒星雲(不確定)¶内無双(不確定),ダークネビュラ : 変化量(総変14で担当の体感3割前後)内無双 : 球速(球速160で担当の体感8割前後)※ともに上方修正後は不明,なし,［SR］タッグボーナス20％¶［PSR］技術ボーナス10,前イベ
[アンドロメダ]大西,投手,スタミナ,ガード,勝負師(確定),ミスターゼロ(不確定),不明,なし,［SR］筋力ボーナス10¶［PSR］やる気効果UP75％,後イベ
[アンドロメダ]嵐丸,投手,メンタル,レンジャー,伝説のサヨナラ男(確定)¶鉄人(不確定),クロスキャノン(不確定)¶鉄腕(不確定),不明,なし,［SR］タッグボーナス20％¶［PSR］精神ボーナス10,前イベ
眉村健,投手,コントロール,スナイパー,なし,ジャイロボール(眉村)(不確定)¶ハイスピンジャイロ(確定),不明,なし,なし,後イベ
[バレンタイン]美藤千尋,野手,打撃,バウンサー,安打製造機(確定)¶ヒートアップ(確定)¶孤軍奮闘(確定),安打製造機(確定)¶孤軍奮闘(確定),-,なし,［SR］精神ボーナス10¶［PSR］練習効果UP20％,後イベ
[バレンタイン]川星ほむら,野手,走塁,レンジャー,気迫ヘッド(確定),なし,-,なし,なし,前イベ
[バレンタイン]大空美代子,野手,筋力,ガード,アーチスト(不確定),怪童(不確定),不明,なし,なし,前イベ
清水薫,投手,メンタル,ガード,なし,復活(確定),-,なし,なし,前イベ
清水大河,野手,打撃,バウンサー,内野安打王(不確定),なし,不明,なし,なし,前イベ
茂野吾郎,投手,球速,ガード,なし,怪童(確定)¶怪物球威(確定),-,なし,［SR］初期評価20¶［PSR］技術ボーナス10,前イベ
佐藤寿也,野手,打撃,バウンサー,アーチスト(不確定)捕手時¶ささやき戦術(不確定)¶球界の頭脳(不確定),なし,不明,捕球+4(PSR覚醒時),［SR］タッグボーナス20％¶［PSR］捕球上限UP4,後イベ
阿久津,投手,変化球,レンジャー,なし,変幻自在(確定),-,なし,なし,後イベ
草野秀明,野手,守備,ガード,魔術師(確定),なし,-,なし,なし,前イベ
片桐恋,彼女,,ガード,重戦車(確定)捕手時¶鉄の壁(確定),超尻上がり(確定),-,なし,［SR］初期評価20¶［PSR］イベントボーナス30％,前イベ
久遠ヒカル,投手,変化球,レンジャー,低球必打(確定),強心臓(確定)¶原点投球(確定),-,なし,［SR］タッグボーナス20％¶［PSR］練習効果UP20％,後イベ
北斗八雲,投手,コントロール,レンジャー,鉄人(確定),ド根性(確定)＋鉄腕(確定)¶鉄人(確定),-,なし,［SR］タッグボーナス20％¶［PSR］練習効果UP10％,後イベ
神楽坂光彦,投手,変化球,レンジャー,なし,驚異の切れ味(不確定)＋左キラー(投手)(不確定),不明,なし,なし,前イベ
猫神優,野手,走塁,ガード,大番狂わせ(確定)¶高速ベースラン(確定),なし,-,なし,なし,後イベ
犬河和音,投手,変化球,レンジャー,ストレートキラー(確定)¶伝説のサヨナラ男(確定),マインドブレイカー(確定)¶本塁打厳禁(確定),-,なし,なし,前イベ
ヴィクター,野手,打撃,バウンサー,左キラー(野手)(確定),精密機械(確定),-,なし,なし,前イベ
アルヴィン,投手,球速,ガード,安打製造機(不確定),ミラージュナックル(不確定)¶変幻自在(不確定),不明,なし,なし,後イベ
[アフロ]猪狩守,投手,球速,レンジャー,祝福(確定),ソニックライジング(不確定)¶勇猛果敢(確定),不明,なし,［SR］技術ボーナス10¶［PSR］やる気効果UP100％,後イベ
火野勇太郎,野手,走塁,レンジャー,電光石火(確定)¶高速レーザー(確定)捕手時¶バズーカ(確定),変幻自在(確定)¶走者釘付(確定),-,なし,なし,前イベ
初野歩,野手,守備,レンジャー,ストライク送球(確定)捕手時¶鉄の壁(確定),鉄腕(確定),-,なし,なし,後イベ
グラビトン新井,投手,球速,レンジャー,アーチスト(確定),怪童(確定),-,なし,なし,後イベ
古長衛士,野手,筋力,ガード,伝説のサヨナラ男(確定),なし,-,なし,なし,後イベ
六鹿陸,野手,守備,スナイパー,鉄人(確定),なし,-,なし,なし,前イベ
木村美香,彼女,,ガード,ストライク送球(確定),左キラー(投手)(確定),-,なし,［SR］初期評価20¶［PSR］イベントボーナス20％,前イベ
諸井清和,野手,打撃,バウンサー,火事場の馬鹿力(確定),走者釘付(確定),-,なし,なし,前イベ
浦賀有也,野手,守備,レンジャー,魔術師(確定),なし,-,なし,［SR］タッグボーナス20％¶［PSR］技術ボーナス10,前イベ
天城隼,投手,メンタル,レンジャー,なし,ハイスピンジャイロ(不確定),不明,なし,なし,後イベ
鴨川しぐれ,彼女,,ガード,伝説のサヨナラ男(確定),勝利の星(確定),-,走力+4(PSR覚醒時のみ),［SR］初期評価20¶［PSR］走力上限UP4,後イベ
安内なみき,サポート,,ガード,左キラー(野手)(確定)捕手時¶バズーカ(確定),走者釘付(確定),-,なし,なし,前イベ
パワプロイド,投手,球速,レンジャー,なし,ストレートビュー(不確定)¶ハイスピンジャイロ(確定),不明,なし,なし,前イベ
グリーンドロイド,野手,打撃,バウンサー,高速レーザー(不確定)¶挑発(確定),精密機械(不確定)¶鉄腕(確定),不明,なし,なし,後イベ
マキシマム,野手,筋力,レンジャー,アーチスト(確定),なし,-,なし,なし,前イベ
坂本ゲン,野手,走塁,バウンサー,高速ベースラン(不確定),なし,不明,なし,なし,後イベ
滝川・クリス・優,サポート,,ガード,なし捕手時¶球界の頭脳(不確定),なし,不明,なし,なし,前イベ
浪風芽衣香,野手,打撃,レンジャー,大番狂わせ(確定),なし,-,なし,［SR］コツイベント率UP50％¶［PSR］やる気効果UP75％,後イベ
暮羽鋭次,投手,コントロール,レンジャー,なし,精密機械(不確定),不明,なし,なし,前イベ
木場静火,彼女,,ガード,芸術的流し打ち(確定),ドクターK(確定),-,なし,［SR］初期評価20¶［PSR］イベントボーナス20％,後イベ
